Firm Name
Acciona Energia SA
Hanjin Heavy Ind & Const Hldg
Energy Capital Partners LLC
Welspun Group
Google Inc
Public Investment Corp Ltd
Kensani Consortium
SolarReserve LLC
Intikom Energy
Consorcio Salud Siglo XXI
Government of Pakistan
Tuulimuukko Oy
EDF Energies Nouvelles SA
DONG Energy A/S
Kirkbi A/S
Oticon A/S
Marguerite Adviser SA
Sacyr Vallehermoso SA
Valoriza Facilities SA
Royal Dutch/Shell Group
Mitsubishi Corp
KOGAS
PetroChina Co Ltd
POSCO Co Ltd
Kibar Holding
Daewoo Engineering & Constr
FCC
MOP
Enerfin SA
SunEdison LLC
ColoradoDeptofTransportation
ORPIC
DLF Ltd
HUDA
Eosol Energy
Uisensis Power
SunEdison PV
MEMC Electronic Materials Inc
Ascent Resources PLC
Ambros Saro
Save Energy Group
KazStroyService Plc
Quintain Estates & Dvlp PLC
Wellcome Trust Ltd
Ferroatlantica SL
Codelco-Electric Generation As
Air Liquide Group
TAQA
Delmi SpA
Chemoil Energy Ltd
Qatar Solar Technologies QSC
Dialog Group Bhd
ROC Oil Co Ltd
Petronas Carigali Sdn Bhd
Oman PWP
TrustPower Ltd
Invenergy Wind LLC
Calpine Corp
Tractebel Energia SA
Northeast Wind Energy SA
Kuokuang Petrochemical
Banks Renewables
Simhapuri Energy Pvt Ltd
Jupiter Energy Ltd
KA CARE
Victorian Government
Inmet Mining Corp
Korea Panama Mining Corp
Eolectric Inc
Fiera Axium Infrastructure Inc
Lang & Cie Real Estate AG
Eurus Energy Holdings Corp
AGL Energy Ltd
Democo NV
Denys NV
Press Metal Bhd
Mubadala Development Co PJSC
IPIC
Ayala Corp
Metro Pacific Investments Corp
Hindustan Petroleum Corp Ltd
Mittal Energy Investments Ltd
New Zealand Refining Co Ltd
Green Planet Group Inc
BP PLC
MI Berau BV
CNOOC Ltd
Nippon Oil Exploration Ltd
KG Berau
LNG Japan Corp
Talisman
ACS-Wind Farm
Lucara Diamond Corp
Epuron Pty Ltd
Green Wind Renewables A/S
Toyota Tsusho Corp
TEPCO
REA Group
PetroSA
Chevron Phillips Chemical Co
